index_name,거래일,시가,고가,저가,종가,거래량,거래대금,market
코스닥,20180214,835.60,848.03,830.78,848.03,675003385,4945668102501,KOSDAQ
코스피,20180219,2452.52,2455.12,2428.15,2442.82,322060743,5843068304334,KOSPI
코스닥,20180219,855.78,875.81,855.58,875.81,670696991,4904579556766,KOSDAQ
코스피,20180220,2433.35,2438.48,2411.23,2415.12,421434740,5146403873708,KOSPI
코스닥,20180220,873.99,877.90,861.50,864.41,773257540,5439686586003,KOSDAQ
코스피,20180221,2417.73,2432.45,2404.02,2429.65,432161970,6073713405406,KOSPI
코스닥,20180221,867.92,877.69,864.21,875.58,801415898,5231890044952,KOSDAQ
코스피,20180222,2417.18,2422.62,2405.23,2414.28,349402778,4981592626688,KOSPI
코스닥,20180222,871.72,873.48,863.89,870.22,828855222,4744297087725,KOSDAQ
코스피,20180223,2427.13,2451.52,2427.13,2451.52,300499102,5386717824163,KOSPI
코스닥,20180223,873.52,875.73,871.41,874.78,747898158,4972395463983,KOSDAQ
코스피,20180226,2465.35,2466.08,2447.86,2457.65,321028510,5604936248028,KOSPI
코스닥,20180226,881.36,884.26,869.66,874.43,788217817,4749420436125,KOSDAQ
코스피,20180227,2474.08,2480.79,2456.14,2456.14,271056899,5673342822953,KOSPI
코스닥,20180227,880.88,882.04,874.00,874.01,769229952,5100746616694,KOSDAQ
코스피,20180228,2447.11,2460.12,2426.21,2427.36,367432843,7167795314116,KOSPI
코스닥,20180228,866.50,868.53,853.90,857.06,786283162,5129454463605,KOSDAQ
코스피,20180302,2406.57,2410.34,2387.25,2402.16,320269351,6077296858531,KOSPI
코스닥,20180302,846.40,861.08,845.72,860.23,724090973,4649213749539,KOSDAQ
코스피,20180305,2405.92,2407.98,2374.80,2375.06,312132521,5784455435907,KOSPI
코스닥,20180305,862.41,863.01,845.00,845.00,712548907,4430837264326,KOSDAQ
코스피,20180306,2400.67,2413.01,2392.87,2411.41,400045240,6598270600757,KOSPI
코스닥,20180306,854.91,859.21,850.42,859.21,812167285,4253071293222,KOSDAQ
코스피,20180307,2413.39,2429.43,2395.24,2401.82,412837663,8956065898204,KOSPI
코스닥,20180307,856.43,861.41,841.03,841.03,909541617,5303250995478,KOSDAQ
코스피,20180308,2420.67,2433.08,2407.59,2433.08,394783170,9052739590047,KOSPI
코스닥,20180308,847.31,855.80,846.34,853.94,863417114,4509827571772,KOSDAQ
코스피,20180309,2443.43,2476.43,2436.03,2459.45,437160095,8573203208251,KOSPI
