company_name,stock_code,corp_code,bsns_year,report_name,reprt_code,fs_div,api_status,api_message,account_row_count,collected
CJ ENM,035760,00265324,2025,분기보고서_1분기,11013,OFS,000,정상,138,True
CJ ENM,035760,00265324,2025,분기보고서_3분기,11014,CFS,000,정상,226,True
CJ ENM,035760,00265324,2025,분기보고서_3분기,11014,OFS,000,정상,145,True
CJ ENM,035760,00265324,2025,사업보고서,11011,CFS,000,정상,235,True
CJ ENM,035760,00265324,2025,사업보고서,11011,OFS,000,정상,151,True
CJ제일제당,097950,00635134,2017,반기보고서,11012,CFS,000,정상,193,True
CJ제일제당,097950,00635134,2017,반기보고서,11012,OFS,000,정상,120,True
CJ제일제당,097950,00635134,2017,분기보고서_1분기,11013,CFS,000,정상,192,True
CJ제일제당,097950,00635134,2017,분기보고서_1분기,11013,OFS,000,정상,134,True
CJ제일제당,097950,00635134,2017,분기보고서_3분기,11014,CFS,000,정상,174,True
CJ제일제당,097950,00635134,2017,분기보고서_3분기,11014,OFS,000,정상,126,True
CJ제일제당,097950,00635134,2017,사업보고서,11011,CFS,000,정상,182,True
CJ제일제당,097950,00635134,2017,사업보고서,11011,OFS,000,정상,138,True
CJ제일제당,097950,00635134,2018,반기보고서,11012,CFS,000,정상,207,True
CJ제일제당,097950,00635134,2018,반기보고서,11012,OFS,000,정상,150,True
CJ제일제당,097950,00635134,2018,분기보고서_1분기,11013,CFS,000,정상,179,True
CJ제일제당,097950,00635134,2018,분기보고서_1분기,11013,OFS,000,정상,127,True
CJ제일제당,097950,00635134,2018,분기보고서_3분기,11014,CFS,000,정상,208,True
CJ제일제당,097950,00635134,2018,분기보고서_3분기,11014,OFS,000,정상,156,True
CJ제일제당,097950,00635134,2018,사업보고서,11011,CFS,000,정상,209,True
CJ제일제당,097950,00635134,2018,사업보고서,11011,OFS,000,정상,150,True
CJ제일제당,097950,00635134,2019,반기보고서,11012,CFS,000,정상,256,True
CJ제일제당,097950,00635134,2019,반기보고서,11012,OFS,000,정상,144,True
CJ제일제당,097950,00635134,2019,분기보고서_1분기,11013,CFS,000,정상,257,True
CJ제일제당,097950,00635134,2019,분기보고서_1분기,11013,OFS,000,정상,152,True
CJ제일제당,097950,00635134,2019,분기보고서_3분기,11014,CFS,000,정상,258,True
CJ제일제당,097950,00635134,2019,분기보고서_3분기,11014,OFS,000,정상,149,True
CJ제일제당,097950,00635134,2019,사업보고서,11011,CFS,000,정상,213,True
CJ제일제당,097950,00635134,2019,사업보고서,11011,OFS,000,정상,153,True
CJ제일제당,097950,00635134,2020,반기보고서,11012,CFS,000,정상,227,True
CJ제일제당,097950,00635134,2020,반기보고서,11012,OFS,000,정상,129,True
CJ제일제당,097950,00635134,2020,분기보고서_1분기,11013,CFS,000,정상,247,True
CJ제일제당,097950,00635134,2020,분기보고서_1분기,11013,OFS,000,정상,142,True
CJ제일제당,097950,00635134,2020,분기보고서_3분기,11014,CFS,000,정상,250,True
CJ제일제당,097950,00635134,2020,분기보고서_3분기,11014,OFS,000,정상,132,True
CJ제일제당,097950,00635134,2020,사업보고서,11011,CFS,000,정상,268,True
CJ제일제당,097950,00635134,2020,사업보고서,11011,OFS,000,정상,182,True
CJ제일제당,097950,00635134,2021,반기보고서,11012,CFS,000,정상,182,True
CJ제일제당,097950,00635134,2021,반기보고서,11012,OFS,000,정상,126,True
CJ제일제당,097950,00635134,2021,분기보고서_1분기,11013,CFS,000,정상,234,True
CJ제일제당,097950,00635134,2021,분기보고서_1분기,11013,OFS,000,정상,122,True
CJ제일제당,097950,00635134,2021,분기보고서_3분기,11014,CFS,000,정상,187,True
CJ제일제당,097950,00635134,2021,분기보고서_3분기,11014,OFS,000,정상,126,True
CJ제일제당,097950,00635134,2021,사업보고서,11011,CFS,000,정상,190,True
CJ제일제당,097950,00635134,2021,사업보고서,11011,OFS,000,정상,139,True
CJ제일제당,097950,00635134,2022,반기보고서,11012,CFS,000,정상,190,True
CJ제일제당,097950,00635134,2022,반기보고서,11012,OFS,000,정상,123,True
CJ제일제당,097950,00635134,2022,분기보고서_1분기,11013,CFS,000,정상,177,True
CJ제일제당,097950,00635134,2022,분기보고서_1분기,11013,OFS,000,정상,124,True
CJ제일제당,097950,00635134,2022,분기보고서_3분기,11014,CFS,000,정상,190,True
CJ제일제당,097950,00635134,2022,분기보고서_3분기,11014,OFS,000,정상,127,True
CJ제일제당,097950,00635134,2022,사업보고서,11011,CFS,000,정상,192,True
CJ제일제당,097950,00635134,2022,사업보고서,11011,OFS,000,정상,134,True
CJ제일제당,097950,00635134,2023,반기보고서,11012,CFS,000,정상,184,True
CJ제일제당,097950,00635134,2023,반기보고서,11012,OFS,000,정상,126,True
CJ제일제당,097950,00635134,2023,분기보고서_1분기,11013,CFS,000,정상,167,True
CJ제일제당,097950,00635134,2023,분기보고서_1분기,11013,OFS,000,정상,121,True
CJ제일제당,097950,00635134,2023,분기보고서_3분기,11014,CFS,000,정상,199,True
CJ제일제당,097950,00635134,2023,분기보고서_3분기,11014,OFS,000,정상,132,True
CJ제일제당,097950,00635134,2023,사업보고서,11011,CFS,000,정상,216,True
CJ제일제당,097950,00635134,2023,사업보고서,11011,OFS,000,정상,142,True
CJ제일제당,097950,00635134,2024,반기보고서,11012,CFS,000,정상,282,True
CJ제일제당,097950,00635134,2024,반기보고서,11012,OFS,000,정상,175,True
CJ제일제당,097950,00635134,2024,분기보고서_1분기,11013,CFS,000,정상,288,True
CJ제일제당,097950,00635134,2024,분기보고서_1분기,11013,OFS,000,정상,176,True
CJ제일제당,097950,00635134,2024,분기보고서_3분기,11014,CFS,000,정상,287,True
CJ제일제당,097950,00635134,2024,분기보고서_3분기,11014,OFS,000,정상,175,True
CJ제일제당,097950,00635134,2024,사업보고서,11011,CFS,000,정상,277,True
CJ제일제당,097950,00635134,2024,사업보고서,11011,OFS,000,정상,170,True
CJ제일제당,097950,00635134,2025,반기보고서,11012,CFS,000,정상,265,True
CJ제일제당,097950,00635134,2025,반기보고서,11012,OFS,000,정상,159,True
CJ제일제당,097950,00635134,2025,분기보고서_1분기,11013,CFS,000,정상,264,True
CJ제일제당,097950,00635134,2025,분기보고서_1분기,11013,OFS,000,정상,151,True
CJ제일제당,097950,00635134,2025,분기보고서_3분기,11014,CFS,000,정상,265,True
