company_name,stock_code,corp_code,market,industry,bsns_year,report_name,reprt_code,fs_div,fs_div_name,api_status,api_message,account_row_count,raw_file
삼성전자,005930,00126380,KOSPI,전기전자,2020,반기보고서,11012,CFS,연결재무제표,000,정상,172,data\raw\opendart_financial\bsns_year=2020\reprt_code=11012\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2020,반기보고서,11012,OFS,별도재무제표,000,정상,115,data\raw\opendart_financial\bsns_year=2020\reprt_code=11012\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2020,분기보고서_1분기,11013,CFS,연결재무제표,000,정상,170,data\raw\opendart_financial\bsns_year=2020\reprt_code=11013\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2020,분기보고서_1분기,11013,OFS,별도재무제표,000,정상,113,data\raw\opendart_financial\bsns_year=2020\reprt_code=11013\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2020,분기보고서_3분기,11014,CFS,연결재무제표,000,정상,183,data\raw\opendart_financial\bsns_year=2020\reprt_code=11014\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2020,분기보고서_3분기,11014,OFS,별도재무제표,000,정상,117,data\raw\opendart_financial\bsns_year=2020\reprt_code=11014\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2021,사업보고서,11011,CFS,연결재무제표,000,정상,186,data\raw\opendart_financial\bsns_year=2021\reprt_code=11011\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2021,사업보고서,11011,OFS,별도재무제표,000,정상,116,data\raw\opendart_financial\bsns_year=2021\reprt_code=11011\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2021,반기보고서,11012,CFS,연결재무제표,000,정상,184,data\raw\opendart_financial\bsns_year=2021\reprt_code=11012\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2021,반기보고서,11012,OFS,별도재무제표,000,정상,113,data\raw\opendart_financial\bsns_year=2021\reprt_code=11012\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2021,분기보고서_1분기,11013,CFS,연결재무제표,000,정상,176,data\raw\opendart_financial\bsns_year=2021\reprt_code=11013\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2021,분기보고서_1분기,11013,OFS,별도재무제표,000,정상,112,data\raw\opendart_financial\bsns_year=2021\reprt_code=11013\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2021,분기보고서_3분기,11014,CFS,연결재무제표,000,정상,180,data\raw\opendart_financial\bsns_year=2021\reprt_code=11014\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2021,분기보고서_3분기,11014,OFS,별도재무제표,000,정상,112,data\raw\opendart_financial\bsns_year=2021\reprt_code=11014\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2022,사업보고서,11011,CFS,연결재무제표,000,정상,185,data\raw\opendart_financial\bsns_year=2022\reprt_code=11011\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2022,사업보고서,11011,OFS,별도재무제표,000,정상,114,data\raw\opendart_financial\bsns_year=2022\reprt_code=11011\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2022,반기보고서,11012,CFS,연결재무제표,000,정상,178,data\raw\opendart_financial\bsns_year=2022\reprt_code=11012\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2022,반기보고서,11012,OFS,별도재무제표,000,정상,112,data\raw\opendart_financial\bsns_year=2022\reprt_code=11012\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2022,분기보고서_1분기,11013,CFS,연결재무제표,000,정상,174,data\raw\opendart_financial\bsns_year=2022\reprt_code=11013\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2022,분기보고서_1분기,11013,OFS,별도재무제표,000,정상,112,data\raw\opendart_financial\bsns_year=2022\reprt_code=11013\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2022,분기보고서_3분기,11014,CFS,연결재무제표,000,정상,180,data\raw\opendart_financial\bsns_year=2022\reprt_code=11014\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2022,분기보고서_3분기,11014,OFS,별도재무제표,000,정상,113,data\raw\opendart_financial\bsns_year=2022\reprt_code=11014\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2023,사업보고서,11011,CFS,연결재무제표,000,정상,176,data\raw\opendart_financial\bsns_year=2023\reprt_code=11011\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2023,사업보고서,11011,OFS,별도재무제표,000,정상,115,data\raw\opendart_financial\bsns_year=2023\reprt_code=11011\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2023,반기보고서,11012,CFS,연결재무제표,000,정상,166,data\raw\opendart_financial\bsns_year=2023\reprt_code=11012\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2023,반기보고서,11012,OFS,별도재무제표,000,정상,112,data\raw\opendart_financial\bsns_year=2023\reprt_code=11012\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2023,분기보고서_1분기,11013,CFS,연결재무제표,000,정상,168,data\raw\opendart_financial\bsns_year=2023\reprt_code=11013\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2023,분기보고서_1분기,11013,OFS,별도재무제표,000,정상,113,data\raw\opendart_financial\bsns_year=2023\reprt_code=11013\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2023,분기보고서_3분기,11014,CFS,연결재무제표,000,정상,166,data\raw\opendart_financial\bsns_year=2023\reprt_code=11014\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2023,분기보고서_3분기,11014,OFS,별도재무제표,000,정상,113,data\raw\opendart_financial\bsns_year=2023\reprt_code=11014\fs_div=OFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2024,사업보고서,11011,CFS,연결재무제표,000,정상,213,data\raw\opendart_financial\bsns_year=2024\reprt_code=11011\fs_div=CFS\005930_00126380.json
삼성전자,005930,00126380,KOSPI,전기전자,2024,사업보고서,11011,OFS,별도재무제표,000,정상,131,data\raw\opendart_financial\bsns_year=2024\reprt_code=11011\fs_div=OFS\005930_00126380.json
